,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max_Temp,Wind_Speed
115,Cayenne,40,GF,1555106400,83,4.94,-52.33,80.6,5.82
116,Cacoal,8,BR,1555108812,94,-11.43,-61.44,74.16,1.92
117,Wasilla,90,US,1555108808,93,61.58,-149.44,45.0,2.48
118,Almaznyy,20,RU,1555106400,93,48.03,40.04,51.8,8.95
119,Shelburne,40,CA,1555108682,67,44.08,-80.2,62.6,18.34
120,Hofn,92,IS,1555108588,95,64.25,-15.21,43.02,14.12
121,Lamar,75,US,1555108279,34,38.09,-102.62,53.01,11.41
122,Prince George,20,CA,1555108519,25,53.92,-122.75,55.99,4.7
123,Dunedin,0,NZ,1555108490,62,-45.87,170.5,55.99,7.0
124,Jega,36,NG,1555108813,64,12.22,4.38,79.39,3.04
125,San Patricio,32,PY,1555108813,69,-26.98,-56.83,65.25,2.71
126,Chuy,0,UY,1555108813,89,-33.69,-53.46,60.12,7.52
127,New Norfolk,75,AU,1555108755,82,-42.78,147.06,55.99,5.82
128,Hamilton,20,BM,1555108282,63,32.3,-64.78,64.4,13.87
129,Hami,12,CN,1555108814,51,42.84,93.51,43.83,10.2
130,Houma,92,CN,1555108814,99,35.63,111.36,46.9,2.15
131,Yellowknife,20,CA,1555108771,56,62.45,-114.38,46.0,5.82
132,Lokoja,76,NG,1555108815,99,7.8,6.74,73.9,2.48
133,Mahebourg,40,MU,1555108742,83,-20.41,57.7,80.6,10.29
134,Moranbah,12,AU,1555108815,54,-22.0,148.04,74.25,16.02
135,Mount Isa,0,AU,1555106400,57,-20.73,139.49,75.2,8.05
136,Margate,75,AU,1555108755,82,-43.03,147.26,55.99,5.82
137,Mathbaria,8,BD,1555108815,94,22.29,89.96,77.5,4.83
138,Portland,75,US,1555108017,58,45.52,-122.67,61.0,4.7
139,Kavieng,12,PG,1555108815,100,-2.57,150.8,84.06,1.36
140,Tuatapere,0,NZ,1555108806,80,-46.13,167.69,50.0,1.01
141,Coquimbo,40,CL,1555106400,77,-29.95,-71.34,59.0,10.29
142,Kathu,0,ZA,1555108215,75,-27.7,23.05,60.01,2.93
143,Mahibadhoo,0,MV,1555108816,100,3.78,72.97,84.87,4.72
144,Bilma,0,NE,1555108816,16,18.69,12.92,67.69,2.82
145,Kavaratti,0,IN,1555108817,100,10.57,72.64,84.79,9.42
146,Marsa Matruh,0,EG,1555106400,87,31.35,27.25,60.8,14.99
147,Tandalti,8,SD,1555108817,28,13.01,31.87,82.62,13.78
148,Lipin Bor,32,RU,1555108817,83,60.26,37.97,26.37,6.62
149,Joinville,0,BR,1555106400,88,-26.3,-48.85,77.0,2.24
150,Minsk,0,BY,1555106400,68,53.9,27.56,30.2,11.18
151,Tessalit,0,ML,1555108817,23,20.2,1.01,56.8,2.59
152,Winnemucca,90,US,1555108211,32,40.97,-117.74,51.8,10.29
153,The Pas,1,CA,1555106400,22,53.82,-101.24,44.6,5.82
154,Nouadhibou,0,MR,1555106400,72,20.93,-17.03,64.4,21.92
155,Sedalia,1,US,1555109700,35,38.7,-93.23,57.99,17.22
156,Merauke,8,ID,1555108818,95,-8.49,140.4,82.9,10.2
157,Torbay,5,CA,1555108486,86,47.66,-52.73,32.0,13.87
158,Petukhovo,0,RU,1555108819,56,55.06,67.89,41.95,10.2
159,Orlik,76,RU,1555108819,74,52.51,99.83,22.6,5.73
